Setpoint,Reactor Temperature,Jacket Temperature,Action
48.49923929,54.8456,45.1297,[0.25]
48.51851079,54.9048,45.1688,[0.25]
48.53775064,54.9639,45.2079,[0.25]
48.55695894,55.0229,45.2469,[0.25]
48.57613581,55.0818,45.2858,[0.25]
48.59528135,55.1406,45.3246,[0.25]
48.61439566,55.1993,45.3634,[0.25]
48.63347885,55.2579,45.4021,[0.25]
48.65253102,55.3164,45.4408,[0.25]
48.67155229,55.3748,45.4794,[0.25]
48.69054275,55.4331,45.5179,[0.25]
48.70950251,55.4914,45.5564,[0.25]
48.72843167,55.5496,45.5948,[0.25]
48.74733034,55.6077,45.6331,[0.25]
48.76619861,55.6657,45.6714,[0.25]
48.7850366,55.7236,45.7096,[0.25]
48.80384441,55.7814,45.7478,[0.25]
48.82262213,55.8391,45.7859,[0.25]
48.84136987,55.8967,45.824,[0.25]
48.86008774,55.9542,45.862,[0.25]
48.87877582,56.0116,45.8999,[0.25]
48.89743423,56.0689,45.9378,[0.25]
48.91606306,56.1261,45.9756,[0.25]
48.93466241,56.1832,46.0133,[0.25]
48.95323239,56.2402,46.051,[0.25]
48.9717731,56.2971,46.0886,[0.25]
48.99028462,56.3539,46.1261,[0.25]
49.00876707,56.4106,46.1636,[0.25]
49.02722054,56.4672,46.201,[0.25]
49.04564513,56.5237,46.2383,[0.25]
49.06404093,56.5801,46.2756,[0.25]
49.08240805,56.6364,46.3128,[0.25]
49.10074658,56.6927,46.3499,[0.25]
49.11905662,56.7489,46.387,[0.25]
49.13733827,56.805,46.424,[0.25]
49.15559162,56.861,46.461,[0.25]
49.17381677,56.9169,46.4979,[0.25]
49.19201381,56.9727,46.5348,[0.25]
49.21018285,57.0284,46.5716,[0.25]
49.22832397,57.084,46.6083,[0.25]
49.24643727,57.1395,46.645,[0.25]
49.26452285,57.1949,46.6816,[0.25]
49.28258079,57.2502,46.7182,[0.25]
49.3006112,57.3054,46.7547,[0.25]
49.31861417,57.3605,46.7911,[0.25]
49.33658979,57.4155,46.8274,[0.25]
49.35453815,57.4705,46.8637,[0.25]
49.37245935,57.5254,46.8999,[0.25]
49.39035348,57.5802,46.9361,[0.25]
49.40822063,57.6349,46.9722,[0.25]
49.4260609,57.6895,47.0083,[0.25]
49.44387437,57.744,47.0443,[0.25]
49.46166113,57.7984,47.0803,[0.25]
49.47942128,57.8527,47.1162,[0.25]
49.49715491,57.9069,47.152,[0.25]
49.51486211,57.961,47.1878,[0.25]
49.53254297,58.015,47.2235,[0.25]
49.55019758,58.069,47.2591,[0.25]
49.56782602,58.1229,47.2947,[0.25]
49.58542839,58.1767,47.3302,[0.25]
49.60300478,58.2304,47.3657,[0.25]
49.62055527,58.284,47.4011,[0.25]
49.63807996,58.3375,47.4364,[0.25]
49.65557892,58.3909,47.4717,[0.25]
49.67305226,58.4442,47.5069,[0.25]
49.69050005,58.4974,47.5421,[0.25]
49.70792238,58.5506,47.5772,[0.25]
49.72531935,58.6037,47.6123,[0.25]
49.74269103,58.6567,47.6473,[0.25]
49.76003752,58.7096,47.6822,[0.25]
49.77735889,58.7624,47.7171,[0.25]
49.79465524,58.8151,47.7519,[0.25]
49.81192665,58.8677,47.7867,[0.25]
49.8291732,58.9202,47.8214,[0.25]
49.84639499,58.9726,47.856,[0.25]
49.86359209,59.025,47.8906,[0.25]
49.88076459,59.0773,47.9251,[0.25]
49.89791257,59.1295,47.9596,[0.25]
49.91503612,59.1816,47.994,[0.25]
49.93213532,59.2336,48.0284,[0.25]
49.94921025,59.2855,48.0627,[0.25]
49.966261,59.3373,48.0969,[0.25]
49.98328765,59.3891,48.1311,[0.25]
50.00029028,59.4408,48.1652,[0.25]
50.01726897,59.4924,48.1993,[0.25]
50.03422381,59.5439,48.2333,[0.25]
50.05115488,59.5953,48.2673,[0.25]
50.06806225,59.6466,48.3012,[0.25]
50.08494601,59.6978,48.3351,[0.25]
50.10180624,59.7489,48.3689,[0.25]
50.11864302,59.8,48.4026,[0.25]
50.13545643,59.851,48.4363,[0.25]
50.15224655,59.9019,48.4699,[0.25]
50.16901346,59.9527,48.5035,[0.25]
50.18575724,60.0034,48.537,[0.25]
50.20247796,60.054,48.5704,[0.25]
50.21917571,60.1045,48.6038,[0.25]
50.23585057,60.155,48.6371,[0.25]
50.25250261,60.2054,48.6704,[0.25]
50.26913191,60.2557,48.7036,[0.25]
50.28573854,60.3059,48.7368,[0.25]
50.3023226,60.356,48.7699,[0.25]
50.31888414,60.406,48.803,[0.25]
50.33542326,60.456,48.836,[0.25]
50.35194002,60.5059,48.8689,[0.25]
50.3684345,60.5557,48.9018,[0.25]
50.38490679,60.6054,48.9346,[0.25]
50.40135694,60.655,48.9674,[0.25]
50.41778505,60.7045,49.0001,[0.25]
50.43419118,60.754,49.0328,[0.25]
50.45057542,60.8034,49.0654,[0.25]
50.46693782,60.8527,49.098,[0.25]
